build time	recall	latency	build time	recall	latency	build time	recall	latency	build time	recall	latency
2.7606	0.4666	0.2499	27.599	0.9708	0.4662	36.6318	0.9984	8.7049	38.3098	0.9984	14.3964
2.8771	0.4721	0.2766	62.6944	0.9709	0.4864	85.3097	0.9985	8.4512	86.7116	0.9985	13.3786
4.1499	0.4728	0.35	34.4478	0.9711	0.5631	205.4182	0.9985	8.1256	250.2741	0.9985	12.4375
3.9873	0.4733	0.2972	25.2852	0.9713	0.5417	215.9778	0.9985	8.7082	351.4012	0.9985	12.3842
3.9873	0.4733	0.2653	28.877	0.9715	0.4834	43.9829	0.9986	9.0306	44.621	0.9986	15.1912
3.9873	0.4733	0.2595	39.0543	0.9717	0.5039	99.5256	0.9987	8.9457	98.2151	0.9987	14.0788
2.703	0.4738	0.2473	28.8327	0.9728	0.525	116.8217	0.9987	11.1412	115.7571	0.9987	15.0418
2.5792	0.4746	0.2314	76.9343	0.9729	0.5285	50.0796	0.9988	9.9255	52.3572	0.9988	15.4291
2.9654	0.4763	0.2903	41.6557	0.9731	0.4784	124.5	0.9988	11.1447	124.9989	0.9988	15.4611
3.658	0.4768	0.3438	49.2629	0.9733	0.5406	57.9609	0.9989	10.1069	58.5044	0.9989	15.697
3.0139	0.4773	0.2467	27.0219	0.9744	0.5202	136.0968	0.9989	10.9762	137.9041	0.9989	15.2025
2.8089	0.4778	0.2434	34.4478	0.9747	0.6174	149.0369	0.9989	12.6724	152.9462	0.9989	16.2272
3.9927	0.4779	0.3398	23.1063	0.9748	0.5993	65.4904	0.999	10.3538	66.2984	0.999	16.4487
2.6821	0.4793	0.2389	45.2008	0.975	0.5476	72.7745	0.999	10.3824	71.9609	0.999	10.4554
2.7065	0.4794	0.2424	28.877	0.976	0.5126	85.3097	0.999	10.7753	86.7116	0.999	17.247
2.7065	0.4795	0.9137	20.9279	0.9763	0.626	161.902	0.999	14.7853	167.1864	0.999	15.9997
2.8721	0.4796	0.2429	59.8308	0.9763	0.4289	178.6494	0.999	13.5575	176.9152	0.999	16.8807
2.9977	0.4797	0.2444	58.3344	0.9764	0.5189	190.0264	0.999	11.9154	193.5411	0.999	16.8275
2.9241	0.4799	0.2558	25.2852	0.9765	0.6167	99.5256	0.9991	11.5236	98.2151	0.9991	18.4246
2.5792	0.4825	0.8985	28.8327	0.9765	0.5641	116.8217	0.9991	14.2887	115.7571	0.9991	19.1775
3.3719	0.4828	0.2531	34.9239	0.9766	0.4334	205.4182	0.9991	11.5113	250.2741	0.9991	18.0758
3.0139	0.4839	0.4884	52.2209	0.9766	0.49	215.9778	0.9991	12.0822	351.4012	0.9991	17.4155
3.0139	0.4839	0.4795	27.599	0.9775	0.5303	124.5	0.9992	14.2841	124.9989	0.9992	19.6204
2.703	0.4843	0.2324	24.1458	0.9776	0.5698	190.0264	0.9992	15.0453	193.5411	0.9992	21.7082
2.5312	0.4863	0.4448	46.739	0.9779	0.4846	136.0968	0.9993	14.687	137.9041	0.9993	20.0262
2.8089	0.487	0.4808	34.4478	0.978	0.6696	149.0369	0.9993	16.1479	152.9462	0.9993	20.5467
2.8089	0.487	0.4669	27.0219	0.9783	0.5615	161.902	0.9993	18.7511	167.1864	0.9993	20.8826
3.0637	0.4873	0.5287	23.1063	0.9794	0.6604	178.6494	0.9993	17.1107	176.9152	0.9993	20.7114
2.8089	0.4886	0.2564	28.877	0.9795	0.523	205.4182	0.9993	14.6154	250.2741	0.9993	21.6779
3.0139	0.4887	0.2507	54.2064	0.9797	0.4627	215.9778	0.9993	15.6602	351.4012	0.9993	22.4046
4.4151	0.4888	0.3708	55.4476	0.98	0.4487						
2.4437	0.4891	0.4706	25.2852	0.9801	0.6926						
2.9977	0.4891	0.2554	39.0543	0.9802	0.6313						
2.9241	0.4893	0.2453	69.1158	0.9802	0.4527						
3.3886	0.4898	0.5306	55.8681	0.9816	0.5042						
2.8721	0.49	0.2484	74.32	0.982	0.5766						
2.6821	0.4903	0.91	28.8327	0.9822	0.6401						
2.9092	0.4907	0.284	27.599	0.9823	0.5915						
3.9854	0.4907	0.3651	24.1458	0.9824	0.6416						
